Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Canada,8.24814415,8.62482357,8.85670471,9.01090145,9.06628132,9.03540611,9.34210205,9.44540119,9.60754967,10.66225815,10.67611408,10.37950897,10.50971508,10.41174984,10.25765324,10.73869705,11.0319252,10.90631104,10.90542507,11.00887775,13.0351181,12.3341074,11.15471363
Chile,7.00020742,7.09733057,7.20833778,7.25047779,6.91028547,6.62372112,6.07235622,6.21259642,6.73954487,7.25026846,6.81958437,6.79947519,7.01951313,7.47552633,7.84150124,8.3513937,8.55767059,9.090518,9.22575188,9.36262131,9.72726822,9.34327984,9.00162983
Colombia,5.63529348,5.94238281,5.73296595,5.77505445,5.79892111,6.06710529,6.33546638,6.49102163,6.84192228,7.3113451,7.07130146,6.78076792,6.74601603,7.01724052,7.18553209,7.52338552,7.53117037,7.67864323,7.62541437,7.77954912,8.71432114,9.01772404,:
Costa Rica,6.56498766,6.47409868,6.8690877,6.9691925,6.63006067,6.6642971,6.93530846,6.99642611,7.46854782,7.86019135,8.02937794,8.12197781,7.78642321,7.68229342,7.66376162,7.59196234,7.31724358,7.04522991,7.28587723,7.22124958,7.8254571,7.56881428,:
Cuba,6.58189821,6.9820981,7.11481619,7.10295439,6.83178711,8.75525475,8.2719059,10.9674921,11.31422806,12.29053974,10.6880827,11.31298637,9.29940987,10.43099499,12.1412344,12.81401348,12.2177515,11.47197342,11.0184288,11.08496857,12.48639679,13.78727818,:
Dominica,5.32374382,4.64501858,4.6531105,4.84617901,4.74520159,4.97772503,4.78092194,4.79109955,5.04968786,4.98329306,5.15711927,5.33450365,5.79509926,5.34749842,5.26141691,5.15941811,5.12308073,5.46245432,6.18495989,5.16903925,5.99901152,6.50494003,:
Dominican Republic,4.88427496,4.88183308,4.98649025,4.38888264,4.2877388,4.35391188,3.99365425,4.08935308,4.56146193,4.76337624,4.92355442,5.03797865,5.04897833,4.91598225,4.79757166,4.72216797,4.57663107,4.49336958,4.12601566,4.23948717,4.93998051,4.91815567,:
Ecuador,3.33441973,3.75668859,4.47671938,5.44398975,5.56991434,5.59754324,5.70635176,5.43095398,5.46596193,5.79984474,6.22109413,6.580935,6.86373377,6.88127422,6.83199883,7.60513353,7.41604376,7.53717899,7.82609653,7.77070522,8.35889626,8.28661728,:
El Salvador,7.84342813,7.88604879,7.88565731,7.77182293,8.1302166,9.20057869,8.69338894,8.47836304,8.49585915,8.83749676,8.90416241,8.87645435,8.60625362,9.05235958,8.5989418,8.75833225,8.71456337,8.42286873,8.322752,8.80846119,9.08151054,9.71643353,:
Grenada,5.35886383,5.62456989,6.17569733,5.28485727,5.36568451,5.14460278,5.11352158,5.23867893,5.386199,5.43471003,5.4188118,5.80423355,5.82235765,5.62652922,4.77353573,4.64675617,4.43910027,4.65701056,4.58373737,4.93189621,5.55900049,5.6984539,:
Guatemala,5.39686108,6.07023716,6.01301289,6.15306854,6.26182795,6.14826393,6.36362219,6.1918335,6.08129978,6.33938646,6.1247797,5.96306896,6.07316971,5.77188921,5.8885684,6.00602007,6.07008219,6.13563824,6.10662699,6.17457819,6.46693325,6.9008255,:
Guyana,3.18737936,3.05506778,3.19353795,3.26884198,3.43770432,3.79409742,3.93144464,4.28126192,4.20242214,4.35117149,4.21897697,4.17213488,3.7081871,3.80231309,3.94755435,4.02264786,4.01842117,4.3191123,4.90492535,4.90331507,5.50584173,4.94385052,:
Haiti,3.99165702,3.7502923,3.43250132,3.53695321,3.42928433,3.30554652,3.48013902,3.64734101,3.75722051,3.50277376,4.54871035,5.91197777,5.56462336,4.10524035,4.52035809,5.07518148,4.80760574,3.8199389,4.31650305,3.91107917,3.22171092,3.47919273,:
Honduras,6.26817989,5.92998314,6.2445755,6.89004707,6.85484362,7.50086403,7.86318684,8.08494949,8.60362625,8.99592495,8.72536373,8.79187012,8.65655136,8.47723007,7.91455746,7.4837904,7.709445,7.00668859,7.22820663,7.30497599,9.03509808,9.16101742,:
Jamaica,5.64462519,5.15652943,4.74544334,4.22014141,4.80435276,4.54581785,4.20788145,5.32057667,5.61143064,5.14654493,5.2951932,5.23845339,4.88512897,4.95443439,5.16564465,5.62470436,5.70102215,6.14859295,5.96798849,6.09761,6.62580395,7.18521214,:
Mexico,4.44912481,4.8203578,5.07164288,5.81486416,5.95390368,5.83612156,5.65525532,5.76644468,5.69886971,6.12978411,5.73688889,5.51883602,5.66522074,5.80923605,5.55340958,5.72277355,5.55345821,5.45759058,5.38345814,5.44796371,6.22204065,6.07868719,:
Nicaragua,5.23883677,5.48459768,5.73315859,6.08317614,6.05740356,6.22468948,6.35756445,6.95643044,7.16700697,7.68584394,7.71019173,7.44982004,7.48836899,7.63869238,7.97716141,7.96303272,8.04877567,8.32754421,8.4993515,8.56945896,8.65219975,9.68343163,:
Panama,7.23963356,7.17009974,7.31349277,6.95631361,7.34004402,6.43272924,6.7842741,7.62018394,7.05229712,7.24006367,7.4865942,7.08092785,6.74132681,6.75967455,7.16729832,7.18962574,7.35213518,7.42582321,7.87820292,8.46795654,10.8049345,9.68179989,:
Paraguay,6.01865244,5.60815811,4.75770569,4.90703917,4.93224335,4.82934713,5.01927567,5.02042723,5.03776026,5.52496862,5.46593952,5.82225847,6.53144598,6.0642848,6.62719059,6.69165802,6.67556572,6.60902548,6.74497652,7.16081905,7.67533064,8.03277016,:
